"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13958","Verify that user can successfully checkout the product","","Fri Aug 08 01:35:22 PKT 2025","passed","Fri Aug 08 01:35:36 PKT 2025","","","",""
"","1475","Verify that user has been locked out","","Fri Aug 08 01:35:36 PKT 2025","passed","Fri Aug 08 01:35:37 PKT 2025","","","",""
